Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-UB-A7MA-01A-11R-A33R-07	0.0522364110173656	0	0.00594668595042605	0.113279534728606	0	0.271964075213716	0	0.0164897812525347	0.0266564259126905	0	0	0.094483518002401	0.0175042171286304	0.0281531517421598	0.069545322195701	0.123308423557046	0.122128793910332	0	0.0447588200748531	0	0	0.0135448393135373	0.738	-0.0148676394076231	1.09539552435945
TCGA-CC-A3MB-01A-11R-A213-07	0.0659216503576127	0	0.00246632607985607	0.0238736333403742	0	0.287445108200658	0	0	0.00270580047612218	0	0	0.0671133720617075	0.0154192052965519	0	0.0868318521846686	0.27925731761855	0.0094942748441341	0	0.1442124816608	0	0	0.0152589778789651	0.947	-0.0356741018469576	1.09238309124984
TCGA-KR-A7K2-01A-12R-A33R-07	0.0225208314876247	0	0.0150384931167443	0.0234784384985647	0	0.524750837122425	0	0	0.0604144053371567	0.0398677428335139	0	0.0276807977313646	0	0	0.0607455693661969	0.204872729400299	0	0.00232319317589625	0.0183069619302143	0	0	0	0.604	-0.00254923904532675	1.12139383809508
TCGA-DD-AACK-01A-11R-A41C-07	0.0126681057139773	0	0.00345334843115955	0.0734085251000589	0	0.323239986472253	0	0.0246658508244863	0.0513133102535477	0	0	0.0597798617970291	0	0.0618629649648709	0.0819479740187417	0.258733932010219	0.0480047316606724	0	0.000921408752983452	0	0	0	0.657	-0.00707551427805729	1.10322226828976
TCGA-FV-A3I0-01A-11R-A22L-07	0.00399352980449443	0.00319841941431741	0	0.0113343444295373	0	0.215550141494185	0	0.00591719138315472	0.0211862217770643	0	0	0.0892929943602458	0.0149660488864708	0.30284499445979	0.0034080827475171	0.230034692319126	0	0.0408943855600135	0.0541249118875524	0	0	0.00325404147653128	0.031	0.169810782041714	1.0322928392124
TCGA-RC-A7SB-01A-21R-A352-07	0.0371781144259633	0	0.00397509564866458	0.098777507800615	0	0.171820215823307	0	0.0514661589707464	0.0221009970529144	0	0	0.0359244481189541	0	0.117343000952	0.127403510807272	0.236761753159602	0.0374435371701581	0	0.0598056600698035	0	0	0	0.165	0.0718072562036426	1.06037965081852
TCGA-GJ-A9DB-01A-11R-A37K-07	0.0512169319240831	0	0.000354823154030622	0.0485784455577594	0	0.151558428449977	0	0.0227531458801583	0.0122038773260584	0	0	0.0193150264912187	0.0444061147932609	0.195970563018396	0.10584855256566	0.22066903926924	0.0467961749876304	0	0.0803288765825265	0	0	0	0.16	0.0741403762631686	1.05749281269308
TCGA-UB-A7ME-01A-11R-A33J-07	0.0614762528959513	0	0.00899785249090599	0.163117270413427	0	0.129127163621587	0.00482405891939214	0.0961077035817002	0.0949619336996985	0	0	0.0304880870118046	0	0.216760524433643	0.0629535810380301	0.0923890909234308	0.0120089842872795	0	0.0267874966831503	0	0	0	0.032	0.166526659829322	1.02841639016875
TCGA-DD-AADU-01A-11R-A41C-07	0.0103701574650846	0	0.00360633112520932	0.0210026219771252	0	0.0844844632817252	0.0495425161706529	0.02256470962151	0	0.0866604502021716	0	0.118684873729578	0.00238463075442526	0.206626298527302	0.0722017588789716	0.263880542336827	0.000907570826277899	0	0	0.0568655917254707	0.000217483377668577	0	0.2	0.0636761269403099	1.08412601115116
TCGA-2Y-A9HB-01A-11R-A39D-07	0.038691350396536	0	0.00521114760256075	0.324235531874304	0	0.105867055876625	0.0139131544284631	0.0318595266192162	0.0774797273156097	0	0	0.00308318171857734	0.0114778474010233	0.0361977336324101	0.133447937968811	0.181102398437954	0.00893102908348373	0	0.0285023776444265	0	0	0	0.279	0.0427304839549986	1.09302735392902
TCGA-CC-A9FV-01A-11R-A37K-07	0.0128293039863169	0	0.00162882988285725	0.10250065494561	0	0.234297045484855	0	0.0102808652604292	0.0255645984799432	0.0376176096346735	0	0.0445418070075851	0.0331759383667447	0	0.00935248784442504	0.412819713818964	0	0	0.072235752126633	0.00315539316096296	0	0	0.004	0.297896891199634	0.965023366230688
TCGA-DD-A1EK-01A-11R-A213-07	0.000409190545382207	0	0	0.0376457352971494	0	0.207063930080571	0	0	0.0296263386308572	0.0212581377474415	0	0.0515832794211363	0.00827632494989805	0.165126486987796	0.02888400351571	0.298803956062755	0	0	0.119410227174827	0	0	0.0319123895864757	0.113	0.0967491344864901	1.05043331267206
TCGA-DD-AAE1-01A-11R-A41C-07	0.0849796778051127	0	0.00932539243982147	0.0892383683872998	0	0.275995001726132	0	0	0.0634965650120089	0	0	0.064594765701779	0.0172498329987885	0.0310329457179027	0.0791689202610465	0.120182512106049	0.101988170336064	0	0.0627478475079953	0	0	0	0.698	-0.0109781558276831	1.08906109419324
