gene	conMean	treatMean	logFC	pValue	fdr
ORM1	12.95437328	11.5618749925401	-1.39249828745989	3.4621948866314e-14	1.00366155016788e-13
NUCKS1	5.64211384	6.4849495136631	0.842835673663101	4.73912727758903e-20	2.60166011453971e-19
VPS33A	2.46546014	3.16789473604278	0.702434596042781	2.38666839889248e-27	1.48460858925474e-25
GPHN	4.22562668	3.60066578756684	-0.624960892433156	4.92899997808188e-12	1.18599446489777e-11
POLE2	2.14252808	3.1278761907754	0.985348110775401	5.74410928830051e-23	5.38045783070609e-22
C1orf35	2.4537813	3.47197548163102	1.01819418163102	1.58057868497782e-28	4.19443050011291e-26
EIF2S3	4.60880974	5.57268934058824	0.963879600588236	2.09947029583291e-16	7.52317286940856e-16
DPAGT1	3.9010127	4.68371174852941	0.782699048529412	1.02697787993194e-20	6.27337179352616e-20
MAPK13	2.35330978	2.97194805663102	0.618638276631016	0.00834990207652557	0.0101758671415494
ABCB4	6.78681366	6.08033878029412	-0.706474879705882	0.00549584177427286	0.0067923283044847
DHX57	2.23412996	2.97615368385027	0.742023723850267	1.09185886179501e-26	4.06367729626397e-25
NUP62	3.56078316	4.38233431048128	0.821551150481283	5.75123658016143e-20	3.11660568788748e-19
TMEM38B	3.15883184	4.18259751826203	1.02376567826203	8.83140647496971e-21	5.4285186773422e-20
COLEC11	7.2382159	5.72026344668449	-1.51795245331551	1.12844674207476e-13	3.12071699209341e-13
CPE	3.88040616	5.01472917272727	1.13432301272727	3.68090199940359e-11	8.35820240635782e-11
SLC29A1	4.22843692	5.14364085318182	0.915203933181818	1.18203974096657e-13	3.2577089023269e-13
SCRIB	3.58400566	5.14203895754011	1.55803329754011	8.37380156694673e-27	3.3168515354637e-25
CD58	2.74545132	3.48187552553476	0.736424205534759	8.95165346674106e-20	4.7121546526653e-19
SSNA1	4.31846486	5.14712739053476	0.82866253053476	8.70079847370697e-22	6.42593251824863e-21
PLXND1	3.40671708	4.29009180727273	0.883374727272727	5.61191934308758e-18	2.3843234034388e-17
RPS19	8.6379952	9.56081218959893	0.92281698959893	4.25301779701289e-19	2.06298221861696e-18
PHLDA3	2.76929968	3.45301684245989	0.683717162459893	2.63978472377992e-06	4.18321106299749e-06
SERPINB1	4.28140296	5.1466509413369	0.865247981336898	3.52898628843791e-10	7.42002758528257e-10
ADH1A	10.52774214	8.66124929235294	-1.86649284764706	5.64966681365074e-17	2.1463873963431e-16
IL33	3.70152786	2.77244366205882	-0.929084197941177	2.67121021438674e-15	8.52721352500111e-15
RPS17	8.82973894	9.48881466935829	0.659075729358289	4.32374398174638e-15	1.35575543453198e-14
CIAPIN1	3.86701192	4.54308255459893	0.67607063459893	3.35006807600697e-21	2.23329443889582e-20
PALLD	3.99132492	4.79137960949198	0.800054689491979	7.88111321491186e-09	1.50386418291891e-08
GNAO1	3.33309716	2.52739590114973	-0.805701258850267	4.12888590940922e-17	1.59887984383216e-16
RUVBL2	4.92464488	5.87702100975936	0.952376129759359	4.48882421905504e-25	7.7290027927706e-24
DMWD	2.80057804	3.39328169462567	0.592703654625669	1.66450274279605e-25	3.41919830863198e-24
TAOK2	2.75693942	3.49036945660428	0.733430036604278	2.34910651352152e-26	7.17981239928567e-25
CLEC4M	5.35701364	2.41797752385027	-2.93903611614973	5.00499718491854e-30	1.10522850335964e-26
PON2	6.74308244	7.64160250109626	0.898520061096256	2.85267651523861e-16	1.00509340483058e-15
LIPC	6.88195202	6.06216292465241	-0.819789095347594	3.01212174859831e-06	4.74938796954103e-06
SLC5A6	4.96842806	5.62549568368984	0.65706762368984	6.09937665889165e-08	1.08839987935333e-07
LTBP2	3.22243124	3.97884676975936	0.756415529759358	6.4435999710827e-08	1.14727511680253e-07
