id	TCGA-BD-A3EP-11A	TCGA-G3-A3CH-11A	TCGA-BC-A10X-11A	TCGA-DD-A1EH-11A	TCGA-DD-A11A-11A	TCGA-DD-A3A6-11A	TCGA-DD-A1EB-11A	TCGA-BC-A110-11A	TCGA-BC-A216-11A	TCGA-FV-A3R2-11A	TCGA-DD-A3A4-11A	TCGA-BC-A10Y-11A	TCGA-BC-A10W-11A	TCGA-DD-A119-11A	TCGA-DD-A1EC-11A	TCGA-DD-A1EJ-11A	TCGA-BC-A10R-11A	TCGA-FV-A3I1-11A	TCGA-BC-A10Q-11A	TCGA-FV-A23B-11A	TCGA-BC-A10Z-11A	TCGA-DD-A1EG-11A	TCGA-DD-A11D-11A	TCGA-BC-A10T-11A	TCGA-ES-A2HT-11A	TCGA-EP-A3RK-11A	TCGA-FV-A2QR-11A	TCGA-DD-A11C-11A	TCGA-DD-A39W-11A	TCGA-DD-A3A1-11A	TCGA-DD-A113-11A	TCGA-DD-A39X-11A	TCGA-DD-A3A5-11A	TCGA-DD-A3A2-11A	TCGA-EP-A12J-11A	TCGA-BC-A10U-11A	TCGA-DD-A118-11A	TCGA-DD-A1EL-11A	TCGA-DD-A3A3-11A	TCGA-DD-A116-11A	TCGA-DD-A1EI-11A	TCGA-BD-A2L6-11A	TCGA-FV-A3I0-11A	TCGA-DD-A1EE-11A	TCGA-DD-A3A8-11A	TCGA-DD-A11B-11A	TCGA-DD-A114-11A	TCGA-DD-A39Z-11A	TCGA-EP-A26S-11A	TCGA-DD-A39V-11A
DGCR2	3.741554	3.727259	3.378451	3.557901	3.395521	3.387965	3.860475	3.363725	3.418395	3.9095	4.371035	3.951331	3.637671	3.684051	3.981052	3.671917	3.521878	3.851167	3.459822	4.037333	3.745737	3.54634	3.865573	3.248088	4.289993	3.909202	4.350418	3.792722	3.815452	3.770624	3.500319	3.826721	3.67843	3.579431	4.520665	3.632197	3.431066	4.031607	3.762886	3.838689	3.77137	4.019608	3.479678	4.015959	4.061448	4.119785	4.36034	3.578107	3.976318	3.679251
KIAA0232	4.495553	3.982301	3.960511	3.897576	3.83808	3.482443	4.40625	3.679345	3.588441	4.236679	4.534056	4.565675	3.963389	4.207754	4.693599	4.185243	4.137808	4.187519	4.004948	4.441134	3.978314	3.726627	3.80989	3.573949	4.392797	4.08637	4.421032	4.10044	4.053112	3.577084	3.875457	3.742866	3.957242	3.849698	4.242296	3.586512	4.388151	4.598749	3.965643	4.475336	4.279504	4.132521	3.717722	4.150497	3.354043	4.142466	4.543692	3.699492	4.230062	3.574233
CTSD	7.547736	7.789451	7.538497	7.708108	7.945536	7.63538	8.034467	7.586075	7.380242	8.13937	8.405272	7.82551	8.174605	8.016804	7.769863	7.882575	7.516407	7.513337	7.864228	7.924825	7.830569	7.418883	8.560961	7.289827	8.08666	7.962468	8.402156	7.374433	7.469083	8.91964	7.612997	7.489803	7.871507	7.454051	7.825871	7.683011	7.294185	7.420684	8.292123	7.53579	7.622059	8.187269	7.402466	8.175201	8.941859	8.636154	8.165741	7.721514	8.02595	7.921127
TRPM8	3.304594	3.440629	3.692027	3.541602	3.264397	3.156914	3.808934	3.371455	2.741837	2.727951	3.164676	3.173587	3.379103	3.30711	2.632099	3.016223	3.395022	3.006199	3.712225	3.939752	2.381958	2.72399	3.407719	3.219845	2.735858	2.919904	3.144511	3.771546	3.43385	2.566349	3.242063	2.928506	3.581559	2.692599	3.254314	3.406172	3.922923	3.749185	2.367327	3.056145	3.717087	2.455684	3.359103	2.383034	3.049939	3.047576	2.853255	2.823555	2.704201	3.163459
ZYX	5.91261	4.663206	4.136562	4.298048	5.96887	4.106518	4.768175	6.058268	4.276764	5.005855	5.634535	5.008428	5.59481	4.881266	4.707197	5.698357	5.610706	3.807539	4.990035	5.144129	5.0447	5.860405	5.149566	4.514026	5.725265	4.057332	6.045341	4.627496	4.267532	5.129661	5.722131	3.472833	4.828553	3.694579	4.927206	5.776929	4.797609	4.985295	5.486699	4.075187	4.19455	5.86649	5.256592	4.682297	5.197271	4.821099	5.121519	3.805658	4.210266	4.744375
CEP350	3.349725	3.415292	3.737971	3.180657	3.664351	2.667747	3.784421	3.378553	3.190409	3.216304	3.621941	3.747174	3.181148	3.674963	3.873421	3.522564	3.412148	3.552609	3.361355	3.671216	3.246014	3.088999	3.490174	3.241139	3.538067	3.269186	3.596754	3.695823	3.306579	2.933996	3.233077	3.101642	3.108914	3.210852	3.631223	3.329699	3.381698	3.591547	3.077055	3.387641	3.659356	3.687558	3.137875	3.708642	2.615505	3.317988	3.785934	3.044428	3.227494	3.123531
E2F8	1.794514	1.790295	1.794346	1.790782	1.794393	1.753169	1.777369	1.759288	1.97593	1.778463	1.782896	1.776889	1.770955	1.758971	1.783527	1.81043	1.768206	1.784656	1.810244	1.814517	1.788222	1.831226	1.772253	1.76035	2.05391	1.795141	1.832895	1.803546	1.763129	1.753169	1.787497	1.762617	1.759687	1.763343	1.970466	1.770277	1.797249	1.902443	1.784399	1.878428	1.932555	1.811325	1.759178	1.779972	1.779985	1.834272	2.122134	1.787618	1.753169	1.759484
F9	10.177089	10.33285	10.79284	10.105734	10.53975	9.727249	10.691533	10.406447	11.006475	9.784538	9.748134	9.660911	10.038095	10.631171	10.805815	10.758706	10.633977	10.31398	10.416122	9.892657	9.646823	10.310816	10.386756	10.310002	9.818502	10.372057	9.300933	10.659063	10.259774	9.726974	10.601413	9.959886	10.295497	10.301049	10.10202	10.421171	10.273437	10.334008	9.732519	10.21332	10.313649	9.748238	10.36641	10.512777	10.269503	10.214819	10.197194	10.063326	10.393334	10.381773
SORT1	1.757329	2.148192	1.97842	1.702409	1.77852	2.372705	3.035349	1.58807	1.833616	2.013368	1.987369	2.807217	1.925743	1.97854	2.983766	2.594345	1.685801	1.703851	1.788542	2.933266	2.177335	2.589883	2.8403	1.763786	2.953863	1.644651	2.453644	2.862159	1.703539	1.788907	2.789488	1.540439	1.498234	2.412924	3.905514	3.187808	1.62421	3.223484	1.952091	1.734276	2.179492	2.84659	1.585834	2.121757	3.100816	2.337409	3.408518	1.864355	2.629324	1.663983
CAPN1	3.99068	4.276487	3.863337	3.961959	4.262245	3.685426	4.390713	3.791994	3.709322	4.417649	4.747387	4.299778	4.156279	4.040155	4.08385	3.961443	3.951191	4.042567	4.183521	4.284883	4.236613	3.715791	4.305603	3.73906	4.491776	4.02478	4.602959	4.223	4.285606	4.076834	4.280165	4.072675	4.040803	3.841785	4.394165	4.037935	3.858553	4.060766	4.252869	3.987427	4.374157	4.352629	3.964957	4.447963	4.67736	4.340541	4.276725	4.040168	4.253365	4.07509
