id	TCGA-DD-A11B-11A	TCGA-DD-A39Z-11A	TCGA-BC-A112-11A	TCGA-DD-A115-11A	TCGA-FV-A2QR-11A	TCGA-DD-A1EI-11A	TCGA-DD-A39W-11A	TCGA-BC-A10Q-11A	TCGA-DD-A1E9-11A	TCGA-BD-A3EP-11A	TCGA-BC-A10U-11A	TCGA-G3-A25X-11A	TCGA-DD-A1EC-11A	TCGA-EP-A12J-11A	TCGA-BC-A10T-11A	TCGA-DD-A39V-11A	TCGA-FV-A23B-11A	TCGA-BC-A10X-11A	TCGA-DD-A1EL-11A	TCGA-BC-A10S-11A	TCGA-DD-A113-11A	TCGA-BC-A216-11A	TCGA-DD-A3A2-11A	TCGA-DD-A119-11A	TCGA-DD-A1EE-11A	TCGA-DD-A114-11A	TCGA-G3-A25W-11A	TCGA-DD-A3A1-11A	TCGA-DD-A1EH-11A	TCGA-DD-A11C-11A	TCGA-ES-A2HT-11A	TCGA-EP-A26S-11A	TCGA-BC-A10Y-11A	TCGA-ES-A2HS-11A	TCGA-DD-A11D-11A	TCGA-DD-A1EB-11A	TCGA-DD-A116-11A	TCGA-DD-A1EJ-11A	TCGA-DD-A3A3-11A	TCGA-DD-A118-11A	TCGA-DD-A1EF-11A	TCGA-DD-A11A-11A	TCGA-BC-A10Z-11A	TCGA-DD-A1ED-11A	TCGA-BC-A110-11A	TCGA-DD-A1EG-11A	TCGA-BC-A10R-11A	TCGA-DD-A39X-11A	TCGA-BD-A2L6-11A	TCGA-BC-A10W-11A
TUBB2A	0.0845554204558663	0.0762642148636636	0.107281632043146	0.126845678546963	0.0968428322468464	0.107664622684667	0.0674989586416306	0.118845577526485	0.087692727242313	0.0740108370184212	0.0732549353205507	0.0787653332856048	0.0894974776255227	0.0553744821400778	0.0995137306464877	0.0733626134829811	0.0615298577956758	0.0808195556013639	0.135973928742203	0.0739555028931179	0.0942406883190214	0.0939533546589413	0.0874906766815773	0.0989272407908481	0.0544822175598007	0.0625438894094888	0.0889102998529457	0.0830276171499231	0.0790603256937654	0.108993826307859	0.0559293784118085	0.0810353677840853	0.0977621696417459	0.102825956739642	0.0762282916980211	0.075746844716561	0.089437178890316	0.0758743346071888	0.108926892064757	0.115953412555731	0.0632240514626631	0.0828301267876249	0.0863808253206074	0.104860277828295	0.0867568204971791	0.0751698289694863	0.0832282900557488	0.0917069381270855	0.0679264825068335	0.0980140279812987
SCAMP2	0.246922532531747	0.264082485464897	0.253432434663448	0.26850057148694	0.27643445581562	0.255551537033149	0.274971384078852	0.266429453899402	0.269326055566123	0.240189575457137	0.255889083631852	0.258984620106048	0.286697850924679	0.246673648495497	0.262968713633756	0.26653004880469	0.242067762500669	0.265255592181481	0.276804937273323	0.315774171239183	0.274069214552913	0.255362474194146	0.288334389837496	0.279064726832299	0.245436271042802	0.231808654413512	0.26075796503068	0.277716653157929	0.280028676800035	0.250218138576504	0.247592112684839	0.271347190524439	0.257866488273488	0.261341814202371	0.241783713207199	0.244651213814995	0.251395401666807	0.271580233344088	0.273864169280378	0.272420969557444	0.250717941896153	0.26001657163392	0.259244062180795	0.264926912286315	0.246609865951547	0.274002095969521	0.25904775308435	0.284091301281253	0.249756028510695	0.264145829353503
ADRM1	0.158033556272495	0.17543917331533	0.159868175200901	0.149393259464056	0.165127728450329	0.15334102225563	0.173706878290838	0.150653721547425	0.150118555203223	0.143411054344823	0.151355978489978	0.167168477371384	0.172467806382522	0.175895592445907	0.149509994718192	0.153785935031289	0.158788873678102	0.149629310554874	0.15206626157433	0.128369923600357	0.148372640960907	0.140046472273658	0.159131196415766	0.149016445968975	0.174186198581513	0.175466834988587	0.149344923799505	0.163309733601077	0.162016770793827	0.133064028598447	0.16485174811695	0.181891457182772	0.143103344639758	0.165076549917862	0.167241396435245	0.1452755953149	0.156559636125045	0.141411822442153	0.186281650731504	0.145110341132589	0.148395710085846	0.148347321178383	0.145447006904093	0.148161776586373	0.135973928742203	0.163987555214841	0.161048413727756	0.13674122953048	0.151568679150279	0.157442594127333
ADAM10	0.0959854452841011	0.0670392410490419	0.0989272407908481	0.0734002140603873	0.0986532335741013	0.0693329890940569	0.0659585655178145	0.125655274120968	0.106267453199153	0.0895390628250806	0.0886252297965298	0.112807592499598	0.0676433701049983	0.0930962419140026	0.085783146575232	0.109862519720774	0.0871698293285738	0.0632240514626631	0.0746986318494006	0.0872304000845027	0.07592967966056	0.0802178166350297	0.066538389721727	0.0867952331753425	0.0839118442530147	0.0865686068702346	0.0694027192913725	0.0911407606678166	0.0888488709537286	0.0730419897087591	0.0953425754536518	0.0799450959517292	0.0880363976515969	0.0987557548248457	0.102706174549331	0.0637629185650855	0.0906387272228757	0.0687515408770643	0.115733739999565	0.0673151489222192	0.0706874282872636	0.0782616754435916	0.0727555902795219	0.0694199607550547	0.0772446092704489	0.0968428322468464	0.0686682182821525	0.0677439333169288	0.0769093609195484	0.0911200024612685
SLC4A1AP	0.104199251011279	0.107664622684667	0.102434456803175	0.101322300124839	0.111418115336482	0.0882343838552843	0.113752172734245	0.107087332461224	0.106627870389063	0.090190779130043	0.0913629864154886	0.123557275344567	0.1099076558789	0.102560801334135	0.102581605098016	0.102241327449464	0.105329118214364	0.0982177152714875	0.100083431373615	0.079336815139058	0.105308233972069	0.0950895933433842	0.09600668169334	0.102456336738516	0.110270140171634	0.0979295608392655	0.0936154380223548	0.111461241036492	0.104306303534603	0.0976986719984127	0.10426370367336	0.107063753222385	0.100754854552101	0.104412917947265	0.0978476624686108	0.0903145676637371	0.102762907682284	0.101673411566729	0.102623387305851	0.0980140279812987	0.0973461421756069	0.0800024740001902	0.104074146804249	0.0954453785636538	0.0994056966601722	0.116170791852305	0.0946968668599893	0.102663683413025	0.0975111560186709	0.107772054593106
HP	0.304371696642309	0.306321230188039	0.282995909490843	0.33176836222979	0.296366302803449	0.310833120452739	0.240308206336091	0.224484420477048	0.335644357620739	0.323211072116026	0.314446039374555	0.316182711913874	0.251070458541836	0.385250226438615	0.299455184505821	0.292651173398248	0.461817078769814	0.325760023602571	0.329276174594272	0.232684944157869	0.232504775038809	0.275336325555795	0.287841976181643	0.281018379925195	0.331154333086536	0.420943046517248	0.279685394516769	0.344073233825685	0.300198471435578	0.255039307273537	0.418407529567574	0.27573054370713	0.273770449205762	0.312680677564274	0.348021911974306	0.275267715423381	0.33427341071255	0.274035408051143	0.293002827760368	0.218438894785171	0.388786940415539	0.919809212454372	0.287182666934432	0.33065570564598	0.255169315102031	0.336505709228107	0.28812027008965	0.245372841294232	0.426377548549302	0.348102408214961
ADAM15	0.322646281054121	0.324227871851443	0.309059757772686	0.323393207166643	0.316551830953078	0.313386209546206	0.313712526837809	0.312830115021326	0.32226935710944	0.302090225470578	0.308273431002028	0.326399502076784	0.314118166926379	0.320878613724202	0.310313777424911	0.320328297617723	0.303332597858745	0.314192207443803	0.324709259431661	0.350145828595502	0.312979336920391	0.304521346117037	0.317816227574236	0.329166324121615	0.314846718977366	0.318925770193084	0.306718714744027	0.324072432014275	0.326584080909021	0.306359445051085	0.319379376326943	0.319076770383081	0.31640645629102	0.31647660949839	0.31323336989999	0.307409591325172	0.313050233489039	0.303472105942616	0.323922747208549	0.304480925135391	0.304852531602058	0.313861348619979	0.307481287317224	0.323731852458574	0.304334112522484	0.327984349389026	0.317522306180168	0.312010774974283	0.309172398059047	0.326584080909021
NUCB2	0.0452926360505814	0.0434529513738311	0.0448829729722253	0.045414942576018	0.0398751150435161	0.0428478922112936	0.0429938993989085	0.0432115407699347	0.0457278155050437	0.043932993658747	0.0451460434139266	0.0474069411141764	0.0439137404487549	0.0446054411761892	0.0418116567769551	0.0415324695283479	0.0370026649143465	0.0416303267633414	0.0462738126839397	0.0685477525209394	0.0484142516110131	0.0422711857675124	0.0434029433758333	0.0459747068190593	0.041899965337176	0.0425287030676615	0.0429215675511795	0.0412472759770873	0.0460256218159443	0.0435667822217799	0.041407305321522	0.0338160136344541	0.0433630286298053	0.0442398985131999	0.0441177996846098	0.0431597394447913	0.0431597394447913	0.042952031705767	0.0466723266256088	0.0440448046166032	0.0402563445779876	0.0390898023321452	0.0410812060720345	0.0489119980861253	0.0442507901696174	0.0434529513738311	0.0414863517541383	0.0441800644917122	0.0400922260185929	0.0444142231391375
POP7	0.095694921463423	0.0998722495256055	0.0956118198889669	0.0924916971142926	0.0983482220161231	0.0912199646016831	0.103243055410484	0.0915250469075106	0.102540945364515	0.0938338713358557	0.0898246611155928	0.100190305040134	0.11819048334708	0.095132135977077	0.0942834004534717	0.0994263336975522	0.0885238917388743	0.096091145195207	0.0895179790147006	0.120521933967906	0.0996809183554362	0.0896000199660401	0.0936758811278539	0.0974069588547573	0.0965123218754521	0.0930757182254701	0.0882155392613684	0.101152007623852	0.103522429368476	0.0869604722444104	0.101611965703627	0.103841692293845	0.0920192574040707	0.0955059347865691	0.0976787161930205	0.0867952331753425	0.0900714943785847	0.095735784129336	0.100734585574921	0.0903145676637371	0.0892949258764077	0.0955688978004792	0.0937943506698751	0.0933277038218256	0.0917717549843561	0.101839978445687	0.0730592839852293	0.0919976213726098	0.091546471375324	0.0891749231858166
MAPK13	0.31789128018362	0.372387970692542	0.305133736843247	0.379858725389577	0.320513893109933	0.351554998706301	0.366047469238681	0.383857124569153	0.343796638818827	0.331804843844614	0.359237688147388	0.343597183145567	0.365752941955403	0.300758567502664	0.354256781436767	0.33732516491497	0.31543831500416	0.373055671365165	0.372221988986364	0.379772535680446	0.382285370998884	0.358948426810493	0.368849170507085	0.349046084492587	0.296540353941019	0.257354436341817	0.362375160793969	0.327677880604993	0.349362904496906	0.379198779545295	0.285079106549693	0.334232250000563	0.354021839558684	0.326998295041445	0.284471979269245	0.369384323440112	0.316109616529493	0.361123770847199	0.336071793369979	0.363430566302509	0.318256091825151	0.342139026731261	0.355251772848403	0.363063255976895	0.367607803344765	0.320134764006631	0.352228153370816	0.374814793595624	0.300907329361635	0.349677243304896
